,clip,target,pred_x,pred_y,pred,diff,rat,LR,start,duration
0,Grooming_930316_L00820_000041,1,1,0,0,1,930316,L,00820,170
1,Grooming_930316_L01015_000050,1,1,1,1,0,930316,L,01015,65
2,Grooming_930316_L01090_000054,1,1,1,1,0,930316,L,01090,25
3,Grooming_930316_L01570_000118,1,0,0,0,1,930316,L,01570,300
4,Grooming_930316_L01880_000134,1,0,1,0,1,930316,L,01880,200
5,Grooming_930316_L05405_000430,1,1,1,1,0,930316,L,05405,10
6,Grooming_930316_L05665_000443,1,0,1,0,1,930316,L,05665,70
7,Grooming_930316_L11160_000918,1,1,0,0,1,930316,L,11160,45
8,Grooming_930316_L12340_001017,1,1,1,1,0,930316,L,12340,20
9,Grooming_930316_L12780_001039,1,1,1,1,0,930316,L,12780,30
10,Grooming_930316_L12980_001049,1,1,0,0,1,930316,L,12980,15
11,Grooming_930316_L13120_001056,1,1,0,0,1,930316,L,13120,15
12,Grooming_930316_L13320_001106,1,1,1,1,0,930316,L,13320,15
13,Grooming_930316_L13455_001112,1,1,0,0,1,930316,L,13455,20
14,Grooming_930316_L16210_001330,1,1,0,0,1,930316,L,16210,25
15,Grooming_930316_L17300_001425,1,1,0,0,1,930316,L,17300,25
16,Grooming_930316_L17370_001428,1,1,1,1,0,930316,L,17370,85
17,Grooming_930316_L18730_001536,1,1,1,1,0,930316,L,18730,80
18,Grooming_930316_L20880_001724,1,1,1,1,0,930316,L,20880,25
19,Grooming_930316_L30005_002500,1,1,1,1,0,930316,L,30005,15
20,Grooming_930316_L30835_002541,1,1,1,1,0,930316,L,30835,30
21,Grooming_930316_L30890_002544,1,1,1,1,0,930316,L,30890,100
22,Grooming_930316_L31415_002610,1,1,0,0,1,930316,L,31415,60
23,Grooming_930316_L31750_002627,1,1,1,1,0,930316,L,31750,25
24,Grooming_930316_L31790_002629,1,1,1,1,0,930316,L,31790,265
25,Grooming_930316_L33080_002734,1,1,1,1,0,930316,L,33080,20
26,Grooming_930316_L34310_002835,1,0,1,0,1,930316,L,34310,25
27,Grooming_930316_L36320_003016,1,1,0,0,1,930316,L,36320,75
28,Grooming_930316_L39200_003240,1,1,0,0,1,930316,L,39200,40
29,Grooming_930316_L39590_003259,1,1,0,0,1,930316,L,39590,15
30,Grooming_930316_L41685_003444,1,1,1,1,0,930316,L,41685,215
31,Grooming_930316_L42055_003502,1,1,1,1,0,930316,L,42055,100
32,Grooming_930316_L42165_003508,1,1,1,1,0,930316,L,42165,30
33,Grooming_930316_L42220_003511,1,1,1,1,0,930316,L,42220,10
34,Grooming_930316_L42245_003512,1,1,1,1,0,930316,L,42245,10
35,Grooming_930316_L47225_003921,1,1,1,1,0,930316,L,47225,30
36,Grooming_930316_L47290_003924,1,1,1,1,0,930316,L,47290,15
37,Grooming_930316_L50560_004208,1,0,1,0,1,930316,L,50560,105
38,Grooming_930316_L52525_004346,1,1,1,1,0,930316,L,52525,110
39,Grooming_930316_L52645_004352,1,1,1,1,0,930316,L,52645,60
40,Grooming_930316_L52740_004357,1,1,0,0,1,930316,L,52740,115
41,Grooming_930316_L53850_004452,1,1,1,1,0,930316,L,53850,55
42,Grooming_930316_L53955_004457,1,1,1,1,0,930316,L,53955,165
43,Grooming_930316_L54215_004510,1,1,1,1,0,930316,L,54215,70
44,Grooming_930316_L54925_004546,1,1,1,1,0,930316,L,54925,30
45,Grooming_930316_L55060_004553,1,1,1,1,0,930316,L,55060,10
46,Grooming_930316_L55085_004554,1,1,1,1,0,930316,L,55085,55
47,Grooming_930316_L55165_004558,1,1,1,1,0,930316,L,55165,15
48,Grooming_930316_L55200_004600,1,1,1,1,0,930316,L,55200,55
